rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_high_air,positioning_percent_most_back,positioning_percent_between_players,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_offensive_third,demo_inflicted,playstyle
grand-champion-3,21,76561198086723604,0.588,62.962,0.294,9.259,39.499,420.9,0.745,66.286,15.177,7.575,33.492,32.109,34.399,34.026,34.386,68.461,31.538,47.864,20.137,0.317,
grand-champion-3,21,37589e469be84a848ca150fbe5b4866d,0.46,36.111,0.214,2.777,24.166,382.2,0.775,66.491,14.308,7.413,34.518,32.989,32.493,32.27,33.614,71.507,28.492,48.067,20.114,0.293,
grand-champion-3,21,76561199070082896,0.747,38.333,0.139,35.0,17.666,390.3,0.915,68.313,15.254,8.291,29.21,33.467,37.323,33.061,34.52,67.263,32.736,45.805,23.585,0.39,
grand-champion-3,21,76561198354694053,0.765,61.666,0.289,15.0,39.357,442.2,0.782,70.686,20.829,5.954,33.581,31.361,35.058,32.752,36.303,71.449,28.55,43.979,23.908,0.148,
grand-champion-2,20,76561198880915385,0.666,65.0,0.275,13.333,44.333,401.6,0.693,70.986,21.488,7.709,36.026,31.832,32.142,33.265,32.886,73.415,26.584,49.708,19.355,0.08,
grand-champion-2,20,76561198303489488,0.297,10.833,0.265,31.666,15.833,359.7,0.813,68.2,18.053,7.071,31.712,32.579,35.709,34.913,34.191,68.685,31.314,49.845,21.198,0.14,
grand-champion-2,20,76561198147545404,0.851,54.166,0.336,27.5,34.499,430.5,0.875,72.495,25.267,6.368,31.299,32.702,35.999,36.266,30.416,71.959,28.04,47.188,22.196,0.531,
grand-champion-2,20,76561198416991164,0.434,32.5,0.379,41.666,33.999,370.7,0.731,66.969,13.874,7.355,32.005,34.291,33.704,32.479,34.174,71.952,28.047,47.029,20.335,0.318,
grand-champion-2,20,76561198447254742,0.426,37.5,0.412,10.833,31.666,365.7,0.526,65.282,13.462,4.961,33.452,35.716,30.832,34.631,30.385,74.619,25.38,54.508,17.663,0.093,
grand-champion-2,20,ee458ee713cd4d8e8f416c8d235924b6,0.457,30.952,0.199,39.285,24.833,463.7,0.991,71.682,20.892,9.251,30.736,29.2,40.064,34.029,35.315,65.398,34.601,40.14,25.829,0.2,
