index,rank,rank-no,player_id,core_shots,core_goals,core_saves,core_assists,core_shooting_percentage,boost_bpm,boost_count_stolen_big,movement_avg_speed_percentage,movement_percent_supersonic_speed,movement_percent_ground,movement_percent_high_air,positioning_percent_most_back,positioning_percent_most_forward,positioning_percent_closest_to_ball,positioning_percent_farthest_from_ball,positioning_percent_behind_ball,positioning_percent_infront_ball,positioning_percent_defensive_third,positioning_percent_offensive_third,demo_inflicted,playstyle
20,supersonic-legend,22,7.66E+16,0.4,62.5,0.42,7.5,64.999,342.9,0.539,65.273,14.838,55.531,5.968,37.558,31.633,32.309,35.89,69.196,30.803,53.994,16.044,0.2,
21,supersonic-legend,22,7.66E+16,0.485,51,0.231,13,57.499,445.9,0.558,72.791,24.511,58.624,4.817,40.258,26.978,30.816,34.465,78.105,21.894,52.332,18.238,0.208,
22,supersonic-legend,22,7.66E+16,0.475,19,0.106,32,22.5,405.5,0.575,73.126,22.015,52.46,5.964,32.721,33.651,30.827,36.763,72.42,27.579,46.807,21.842,0.056,
23,supersonic-legend,22,7.66E+16,0.871,55,0.585,20.833,27.547,449.3,0.657,72.939,25.545,56.59,6.971,32.965,33.844,37.484,30.022,74.346,25.653,49.429,20.56,0.262,
24,supersonic-legend,22,7.66E+16,0.362,19.5,0.146,16,23.333,351.4,0.677,66.469,15.162,53.865,6.347,31.408,34.114,30.469,34.338,70.064,29.935,46.973,21.076,0.125,
25,supersonic-legend,22,7.66E+16,0.537,26.666,0.402,40.833,30.5,426,0.728,67.386,16.743,50.253,7.758,31.569,35.079,37.545,29.653,69.99,30.009,49.073,21.082,0.108,
26,supersonic-legend,22,7.66E+16,0.73,40,0.342,17.5,31.666,451.6,1.134,70.078,19.435,53.199,7.54,31.512,35.418,34.261,32.959,66.785,33.214,40.8,26.97,0.19,
27,supersonic-legend,22,7.66E+16,0.665,57.5,0.451,15,26.666,439.9,0.885,66.343,15.28,59.098,5.901,34.661,29.512,33.62,32.069,68.39,31.609,44.253,22.755,0.263,
28,supersonic-legend,22,7.66E+16,0.283,26.25,0.32,30,20.833,359,0.546,67.147,15.393,54.656,7.133,37.266,29.721,29.625,36.172,70.34,29.659,48.95,17.35,0.2,
29,supersonic-legend,22,7.66E+16,0.727,49.444,0.379,20.555,40.261,363.4,0.638,67.852,15.091,55.018,6.997,35.664,30.71,32.709,35.443,75.277,24.722,47.278,18.452,0.291,
30,supersonic-legend,22,7.66E+16,0.737,39,0.199,23.333,34.833,405.9,0.795,67.256,13.985,50.366,5.026,26.34,40.961,33.676,34.382,65.833,34.166,44.751,23.465,0.278,
31,grand-champion-3,21,7.66E+16,0.974,54.166,0.341,12.5,38.19,442.7,0.973,70.66,18.75,46.557,7.96,35.054,31.964,32.895,33.199,70.849,29.15,45.043,22.188,0.068,
32,grand-champion-3,21,7.66E+16,0.749,30.833,0.236,27.5,38.499,411.4,0.58,69.086,16.405,51.356,5.655,36.188,31.657,31.755,37.403,71.502,28.497,47.448,21.471,0.235,
33,grand-champion-3,21,7.66E+16,0.512,15,0.188,48.333,17.666,404.3,0.841,67.369,14.866,46.813,8.437,29.116,35.279,34.314,29.505,67.866,32.133,42.686,24.677,0.108,
34,grand-champion-3,21,7.66E+16,0.312,31.851,0.403,17.592,61.666,404.5,0.472,66.856,14.362,52.97,8.726,43.493,24.572,32.491,35.107,74.538,25.461,52.677,16.791,0.096,
35,grand-champion-3,21,7.66E+16,0.761,48.518,0.355,15.555,54.309,409.8,1.125,71.456,21.291,53.611,7.843,30.712,37.261,35.544,33.069,65.484,34.515,46.862,23.051,0.274,
36,grand-champion-3,21,1e7054842bd54f75b9c6ff3320ac8f30,0.382,19.629,0.15,35.185,47.499,318,0.77,63.878,9.678,60.198,5.643,27.371,37.044,31.252,32.862,64.349,35.65,42.935,22.053,0.152,
37,grand-champion-3,21,4dacf92b044847ccbab7071e365a6940,0.836,35.833,0.257,14.166,23.333,295,0.197,67.413,8.687,54.799,4.413,34.315,30.444,37.582,28.215,76.132,23.867,47.619,22.064,0.08,
38,grand-champion-3,21,7.66E+16,0.528,41.666,0.217,15.833,52.833,422.5,0.58,70.943,20.844,55.71,6.729,36.299,30.821,30.279,36.64,70.951,29.048,48.108,19.723,0.211,
39,grand-champion-3,21,7.66E+16,0.56,35.833,0.2,35,23.19,448.4,0.859,67.865,19.033,48.823,6.943,32.779,33.513,35.445,30.987,71.829,28.17,44.601,22.506,0.12,
40,grand-champion-3,21,7.66E+16,0.492,39.814,0.191,23.148,34,345.3,0.646,68.913,18.097,57.598,5.074,33.076,33.358,30.858,35.259,70.319,29.68,49.255,21.096,0.314,
41,grand-champion-3,21,7.66E+16,0.578,30.666,0.283,50.166,22.499,446.5,0.751,71.213,20.893,56.461,5.245,35.409,30.752,32.853,32.798,76.089,23.91,48.444,18.199,0.232,
42,grand-champion-3,21,7.66E+16,0.637,32.407,0.394,21.296,28.5,497.6,1.011,72.613,26.937,50.581,6.742,36.532,32.067,33.021,37.442,73.586,26.413,46.319,23.285,0.428,
43,grand-champion-3,21,7.66E+16,0.71,52.333,0.394,27.166,44.999,362.3,0.49,67.169,16.095,56.7,6.115,29.948,31.962,35.641,26.8,70.994,29.005,49.712,21.043,0.11,
44,grand-champion-3,21,45c8410f114446a1ba02fdf3f5f36099,0.39,14.583,0.41,31.25,11.666,379.9,0.5,65.526,13.903,60.819,3.995,38.385,30.302,31.191,35.112,75.603,24.396,49.302,19.596,0.19,
45,grand-champion-3,21,99008469cb5f42f59794da9df94be145,0.808,30.333,0.451,29.666,32.499,390.5,0.997,71.847,20.36,51.616,6.609,30.195,37.092,35.765,32.857,70.895,29.104,46.807,23.705,0.193,
46,grand-champion-3,21,7.66E+16,0.525,21.666,0.355,16.666,25.333,392.1,0.349,65.482,11.352,50.008,5.648,37.285,30.181,31.84,36.621,74.571,25.428,49.165,18.355,0.152,
47,grand-champion-3,21,6a94cff104574a8a8d309c4f13d6883e,0.666,35.833,0.286,25,38.5,425.2,0.734,71.13,19.552,52.12,5.633,30.739,37.167,34.572,31.248,69.329,30.67,43.469,25.267,0.149,
48,grand-champion-3,21,7.66E+16,0.641,34.833,0.17,28.666,27.166,421.5,0.882,69.239,17.626,52.514,5.751,30.379,35.741,32.709,35.118,70.838,29.161,40.489,25.893,0.155,
49,grand-champion-3,21,033b8fdbeff9479d9f755cf72a2b86e9,0.366,25.833,0.408,50.833,27.5,416,0.879,65.891,13.257,54.725,6.181,28.704,37.324,37.085,31.846,69.14,30.859,44.927,23.001,0.191,
50,grand-champion-3,21,7.66E+16,0.66,40.416,0.226,27.083,41.333,425,0.923,68.708,15.568,54.711,6.541,26.583,35.877,36.424,29.716,67.263,32.736,41.149,24.402,0.259,
51,grand-champion-3,21,7.66E+16,0.63,44,0.369,26.166,30.333,435.7,0.502,71.517,21.615,53.057,6.623,35.24,31.298,35.652,30.813,73.03,26.969,49.79,20.6,0.162,
52,grand-champion-3,21,7.66E+16,0.411,9.583,0.299,37.916,12.5,399.5,0.623,68.934,20.615,53.45,5.083,41.081,28.939,27.98,40.603,72.228,27.771,48.553,19.509,0.285,
53,grand-champion-3,21,7.66E+16,0.56,31.851,0.26,30,33.333,365.9,0.799,66.3,15.291,54.099,8.058,38.869,27.615,32.988,34.644,77.718,22.281,50.055,20.432,0.219,
54,grand-champion-3,21,7.66E+16,0.839,48.333,0.239,10,27.976,416.1,1.019,74.052,25.026,44.102,9.302,30.956,35.574,32.282,35.557,70.539,29.46,41.425,28.012,0.239,
55,grand-champion-3,21,7.66E+16,0.443,18.333,0.307,10,23.333,374.5,0.571,68.147,19.119,50.874,5.634,38.171,28.611,31.959,31.413,75.779,24.22,47.889,20.328,0.151,
56,grand-champion-3,21,7.66E+16,0.474,26.333,0.217,31.5,45,415.3,1.102,67.743,14.088,51.82,7.481,30.75,34.997,36.208,32.853,70.063,29.936,42.958,22.999,0.197,
57,grand-champion-3,21,7.66E+16,0.588,62.962,0.294,9.259,39.499,420.9,0.745,66.286,15.177,54.777,7.575,33.492,34.399,34.026,34.386,68.461,31.538,47.864,20.137,0.317,
